Sequence,Predicted Neutral Text,Source Text,BLEU Score
1,the united states electoral system is polarised along the major political party faultline of republican and democrat parties and most political discussion ranges along those lines .,neutral underground - message board for progressive and conservative discussion for both sides on a supposedly level playing field .,0.11111111111111109
2,"prong collars (also called pinch collars ) consist of a series of chain links with open ends turned towards the dog's neck so that, when the collar is tightened, they pinch the naturally loose skin around the dog's neck.","prong collars (also called pinch collar ) are a series of chain links with open ends turned towards the dog's neck so that, when the collar is tightened, it pinches the naturally loose skin around the dog's neck.",0.8888888888888888
3,"by the 1990s, the snacks orignially sold for ten cents each now sold for more than fifty cents each.",tastykake cupcakes come in 2-packs and 3-packs and are very tasty .,0.047619047619047616
4,the film dramatized events from a 1931 manhunt in the yukon organized by the royal canadian mounted police (rcmp) in which retired rcmp officer lqquot yukon lqquot lqquot lawrenceq lq quot w p dempster was involved.,these actions were later heavily fictionalized in the 1981 charles bronson classic death hunt.,0.07692307692307693
5,"the experience and quality of the jg 52 pilots was in sharp contrast to the units they fought, which with few exceptions had been quite adequately trained before the war began, but seldom received further advanced training in tactics and gunnery during the war.","during 19411942, with the luftwaffe constantly on the offensive against vast numbers of the ill-equipped and poorly trained soviet air force, conditions were perfect for the experienced well-equipped jg 52 fighter pilots to build up huge personal scores of aircraft shot down.",0.34042553191489366
6,manafort has represented several world leaders including equatorial guinea 's teodoro obiang and former president of ukraine viktor yanukovych .,"corey lewandowski (born september 18, 1973) is an american political operative .",0.05000000000000001
7,"nieves diaz was born in puerto rico, and became involved in the world of crime and drugs, going by the nickname papo la muerte (papo death).","born in poverty in puerto rico, nieves daz was quickly involved in the world of crime and drugs, going by the nickname papo la muerte (papo death).",0.8745544180654676
8,"in a society where wives are often seen but not heard, simone is an exception .","simone melchior cousteau, wife and partner to jacques cousteau , is a mystery to most people .",0.2773156305455514
9,she also said that those killed on september 11th were not innocent.,"jonathan kay, writing in the conservative national post, sharply criticized elmasry.",0.07122777528017817
10,the colemak keyboard layout is available via download and online.,the designer of colemak claims his layout has been downloaded 1600 times:,0.2273871594750492
11,"members were encouraged to have no association with disfellowshipped relatives, and to also refuse familial blood transfusions .","the magazine the golden age, now published as awake!, began to print anti- blood propaganda .",0.21052631578947367
12,"the british scholarly history masks a willful disregard for the peoples in the southern sudan, for the region's people are mostly black africans who are non-muslim.","furthermore, while the british built roads, schools and set up a government in the predominately arab north, the british left the south to missionaries to ""tame the savages"" creating a terrible misjustice in the country.",0.20518067303747237
13,"[samuel adams'] ""utopias"", a 24% abv beer, is brewed by the samuel adams brewery of united states .","the strongest beer sold in britain was the enormously popular dogfish head world wide stout, a 21% abv stout which was available from uk safeways in 2003. in japan in 2005, the hakusekikan beer restaurant sold an eisbock, strengthened through freezing, believed to be 28% abv.",0.1089227313528361
14,"the committee eventually force the attendees to act on their agenda, which included confiscating the town ' s arms.",during this time assisting fugitive slaves was both illegal and unacceptable to most white communities.,0.09523809523809525
15,"in particular , sherry, vermouth and body building supplements of various kinds are mixed with gins that have been aged in old wine casks.","predominant and most unusual amongst these is the artichoke (cynara scolymus), from which the drink derives its name.",0.1153846153846154
16,"united states attorney for the eastern district of new york , richard p. donoghue, said, "" as this indictment illustrates, for over a year, the keith raniere affilated nxivm has been the subject of an investigation by the united states attorney's office and the fbi. as alleged, keith raniere created a secret society of women whom he had sex with and branded with his initials, coercing them with the threat of releasing their highly personal information and taking into custody their assets. ""","mack was arrested in brooklyn by the fbi on april 20, 2018, on charges of sex trafficking, sex trafficking conspiracy and forced labor conspiracy in relation to her role in the cult-like nxivm organization.",0.13186813186813184
17,"they describe their research in the book "" web of debt: the shocking truth about our money system and how we can break free "" ( 2007 ) .","the federal reserve system is a privately designed banking system composed of (1) a presidentially-appointed board of governors of the federal reserve system in washington, d.c.; (2) the federal open market committee; (3) 12 regional federal reserve banks located in major cities throughout the nation; and (4) numerous private member banks, which own varying amounts of stock in the regional federal reserve banks.",0.06262194701702387
18,"it was founded in 1987, during the first intifada, and has its origins in egypt's muslim brotherhood movement, which had entered the palestinian territories in the 1950s and 1960s under egypt's occupation .","hamas, acronym of harakat al-muqawama al-islamiyya (arabic: , literally ""islamic resistance movement"" and arabic for 'zeal'), is a palestinian islamist movement, political party , and terrorist organization .",0.21052631578947367
19,"the daily mail and the daily telegraph argued that parents would have choice in the matter , and also that the policy was unlikely to be sneakily downloaded to universities in four or five years time .","in the right-wing daily mail tabloid , novelist amanda craig confessed to hating pink, but argued that ""you can't 'liberate' young girls by banning it.",0.24324324324324326
