Sequence,Predicted Neutral Text,Source Text,BLEU Score
1,tastykake cupcakes are available in 2-packs and 3-packs.,tastykake cupcakes come in 2-packs and 3-packs and are very tasty .,0.6369167205100349
2,No neutral text provided,"during 19411942, with the luftwaffe constantly on the offensive against vast numbers of the ill-equipped and poorly trained soviet air force, conditions were perfect for the experienced well-equipped jg 52 fighter pilots to build up huge personal scores of aircraft shot down.",0.0
3,"wintrich has collaborated with milo yiannopoulos, a former editor at breitbart news.","wintrich has collaborated with milo yiannopoulos, a far right-wing former editor at breitbart news.",0.8668778997501817
4,Denis Hamill writes for the New York Daily News.,the less-accomplished denis hamill writes for the new york daily news (see ),0.20109601381069178
5,No neutral text provided,"over the course of the day, police received more than 1,700 calls for service elsewhere in oakland that police were delayed or did not respond to because officers were busy confronting protesters.",0.0
6,aram manougian joined the armenian revolutionary federation at a very early age.,"aram manougian , with a great vision, joined the armenian revolutionary federation at a very early age.",0.6303131865967199
7,No neutral text provided,parappa the rapper 2 is a playstation 2 rhythm video game and the sequel to the groundbreaking parappa the rapper.,0.0
8,"gritty but humorous, Rice's stories combine the hardboiled detective tradition with screwball comedy in a unique way.","gritty but funny , rice's stories uniquely combine the hardboiled detective tradition with no-holds-barred, screwball comedy.",0.7
9,"The government has acknowledged using the nation's money to campaign for President ChÃ¡vez, which is considered electoral fraud under Venezuelan laws.",the most worrying fact is that the government has recognized that it used the nation's money to campaign for president chvez (according to venezuelan laws this is a clear evidence of electoral fraud) .,0.33937039162238813
10,Some of her most engaging discussions occur with Hanuman when he arrives in Lanka.,the most interesting of her speeches are with hanuman when he reaches lanka.,0.4666666666666667
11,general shahbaz khan kamboh was a general of the akbar.,general shahbaz khan kamboh was the most capable and trusted general of the akbar.,0.6319490258171626
