Sample Index,Source Text,Predicted Neutral Text,True Neutral Text
5,"hamas, acronym of harakat al-muqawama al-islamiyya (arabic: , literally ""islamic resistance movement"" and arabic for 'zeal'), is a palestinian islamist movement, political party , and terrorist organization .",No neutral text provided,"hamas, acronym of harakat al-muqawama al-islamiyya (arabic: , literally ""islamic resistance movement"" and arabic for 'zeal'), is a palestinian islamist movement, and political party."
7,"in 1960, following his returm from military service, the various ""yes men"" and employees hired by elvis presley to handle security and his concert tours were affectionately dubbed the ""memphis mafia"" by the news media.",No neutral text provided,"in 1960, following his returm from military service, the various employees hired by elvis presley to handle security and his concert tours were affectionately dubbed the ""memphis mafia"" by the news media."
13,"generation y is one of the most medicated generations in human history, with many generation yers prescribed (subdued/controlled by) antidepressants and other behavior-altering drugs like ritalin.",No neutral text provided,"generation y is one of the most medicated generations in human history, with many generation yers prescribed antidepressants and other behavior-altering drugs like ritalin."
14,his chilling final cry as the south tower of the world trade center collapsed made international headlines.,his final cry as the south tower of the World Trade Center collapsed was reported in international headlines.,his final cry as the south tower of the world trade center collapsed made international headlines.
17,"pope benedict xvi islam controversy: pope benedict xvi came under a hail of criticism from the islamic world for comments he made earlier in the week regarding the prophet mohammed and islam, provoking street protests in some cities .","Pope Benedict XVI faced criticism from parts of the Islamic world for comments he made earlier regarding the Prophet Mohammed and Islam, leading to street protests in some cities.","pope benedict xvi islam controversy: pope benedict xvi is criticized throughout the islamic world for comments he made on september 12 regarding mohammed and islam, provoking street protests in south asia ."
24,"in this vein, some readers have found farrell's critique of colonialism and capitalism in his subsequent novel the singapore grip to be heavy-handed : matthew price , writing in bookforum, commented that the book ""reads like a soap opera written by a committee of marxists"".",No neutral text provided,"in this vein, some readers have found farrell's critique of colonialism and capitalism in his subsequent novel the singapore grip to be heavy-handed, although those new to the book after the crash of 2008 might not find it so ."
31,"in this leadership race, the party chose ""red tory"" john tory as its leader.","in this leadership race, the party chose John Tory as its leader.","in this leadership race, the party chose john tory as its leader."
34,"the hsd ""neutral gear"" is achieved by turning the engine off.",No neutral text provided,"the hsd ""neutral gear"" is achieved by turning the electric motors off."
35,"however, the association was assessed approximately $20,000 in back taxes on the pavilion, and was the subject of two civil rights complaints due to the civil union controversy .","the association was assessed approximately $20,000 in back taxes on the pavilion, and was the subject of two civil rights complaints due to the civil union controversy.","the association was assessed approximately $20,000 in back taxes on the pavilion, and was the subject of two related civil rights complaints."
36,"azerbaijanis, also known as azeris, are a iranian people numbering ca.",No neutral text provided,"azerbaijanis, also known as azeris, are a turkic people numbering ca."
41,the kingdom of sardinia was a homophobic state and punished homosexuality severely.,No neutral text provided,"in the kingdom of sardinia , homosexual acts were illegal and severely punished ."
42,"he is the eldest son of gary ablett, who was a champion aussie rules player at geelong and hawthorn between 1982 - 1997. while gary sr. was a powerhouse forward with a magnificent leap, gary jr. has made his name as a dashing on-baller/forward pocket known for his amazing ability to find space in the tightest pack situations.",No neutral text provided,"he is the eldest son of gary ablett, who was a champion aussie rules player at geelong and hawthorn between 1982 - 1997. while gary sr. was a powerhouse forward with an exceptionally high leap, gary jr. has made his name as an on-baller/forward pocket known for his ability to find space in the tightest pack situations."
44,"the growing number of investigated cases of police brutality (a convenient euphemism when the victim dies) is attributed not to any increase of awareness within police ranks, but merely to more widespread use of video cameras.","The increase in investigated cases of police brutality is attributed to the more widespread use of video cameras, rather than an increase in awareness within police ranks.","the growing number of investigated cases of police brutality is attributed not to any increase of awareness within police ranks, but merely to more widespread use of video cameras."
47,"a spin-off of filmation's he-man and the masters of the universe series, she-ra was aimed primarily at a young female audience to counterbalance he-man's popularity with young males.","a spin-off of filmation's he-man and the masters of the universe series, she-ra was aimed at a young female audience to complement he-man's popularity with young males.","a spin-off of filmation's he-man and the masters of the universe series, she-ra was aimed primarily at a young female audience to complement he-man's popularity with young males."
48,she is known for her emmy-nominated portrayal of pam beesly on the nbc situation comedy the office.,she is known for her portrayal of Pam Beesly on the NBC comedy series The Office.,she is known for her portrayal of pam beesly on the nbc situation comedy the office.
51,"patriotic europeans against the islamisation of the west , abbreviated pegida or pegida, is a german non-parliamentary movement mostly regarded as being far right-wing and neo-nazi , founded in dresden in october 2014 that promotes anti-muslim political positions.",Patriotic Europeans Against the Islamisation of the West (PEGIDA) is a German non-parliamentary movement founded in Dresden in October 2014 that promotes anti-Muslim political positions.,"patriotic europeans against the islamisation of the west , abbreviated pegida or pegida, is a german non-parliamentary movement mostly regarded as being far right-wing, founded in dresden in october 2014 that promotes anti-muslim political positions."
54,"horst khler was born in skierbieszw in german-occupied poland, as the seventh child of elisabeth and eduard khler, into a family of bessarabian germans from ryschkanowka, riscani in romanian bessarabia (near bli, present-day moldova).",No neutral text provided,"at the time of horst khler 's birth the name of the town was heidenstein, now skierbieszw in german-occupied poland, as the seventh child of elisabeth and eduard khler, into a family of bessarabian germans from ryschkanowka, riscani in romanian bessarabia (near bli, present-day moldova)."
58,"ammukutty, better known as ammu swaminathan, a social worker and independence activist from the prominent vadakkath family of anakkara in palghat, kerala.",No neutral text provided,"ammukutty, better known as ammu swaminathan, a social worker and independence activist from the vadakkath family of anakkara in palghat, kerala."
59,the late show with david letterman is an emmy award-winning american late-night talk show hosted by david letterman on cbs.,No neutral text provided,the late show with david letterman is an american late-night talk show hosted by david letterman on cbs.
60,"while the government of vietnam claims to safeguard the country against obscene or sexually explicit content through its blocking efforts, many of the filtered sites contain politically or religiously critical materials that might undermine the communist party 's hold on power .",No neutral text provided,"while the government of vietnam claims to safeguard the country against obscene or sexually explicit content through its blocking efforts, many of the filtered sites contain politically or religiously critical materials that might undermine the communist party and the stability of the political system ."
62,"in the preface to the british edition (reprinted in letters from a war zone, 185-194), dworkin remarked on how the new right in the united states focused especially on preserving male authority in the family, the promotion of fundamentalist versions of orthodox religion, combating abortion, and undermining efforts to combat domestic violence (192-193), but that it also had, for the first time, ""succeeded in getting women as women (women who claim to be acting in the interests of women as a group) to act effectively in behalf of male authority over women, in behalf of a hierarchy in which women are subservient to men, in behalf of women as the rightful property of men, in behalf of religion as an expression of transcendent male supremacy"" (193).",No neutral text provided,"in the preface to the british edition (reprinted in letters from a war zone, 185-194), dworkin stated that the new right in the united states focused especially on preserving male authority in the family, the promotion of fundamentalist versions of orthodox religion, combating abortion, and undermining efforts to combat domestic violence (192-193), but that it also had, for the first time, ""succeeded in getting women as women (women who claim to be acting in the interests of women as a group) to act effectively in behalf of male authority over women, in behalf of a hierarchy in which women are subservient to men, in behalf of women as the rightful property of men, in behalf of religion as an expression of transcendent male supremacy"" (193)."
64,"with its affordable price and attractive design, it became one of the best-selling chairs ever made.",No neutral text provided,"with its affordable price and simple design, it became one of the best-selling chairs ever made."
68,"despite his bleak existentialist outlook, solidified in the public mind through his articulate and vivid series of interviews with david sylvester, bacon in person was highly engaging and charismatic, articulate, well-read and unapologetically gay.","despite his philosophical views, solidified in the public mind through his series of interviews with david sylvester, Bacon in person was engaging, charismatic, articulate, well-read, and openly gay.","despite his bleak existentialist outlook, solidified in the public mind through his articulate and vivid series of interviews with david sylvester, bacon in person was highly engaging and charismatic, articulate, well-read and openly gay."
75,"he was lead vocalist, guitarist and principal songwriter during the band's psychedelic years, providing major musical and stylistic direction in their early compositions.",No neutral text provided,"he was a founder member of the band pink floyd , and was the lead vocalist, guitarist and principal songwriter during the band's psychedelic years, providing major musical and stylistic direction in their early compositions."
80,in 2004 he was forced to retire after ironically being diagnosed with als.,"in 2004, he retired after being diagnosed with ALS.",in 2004 he was forced to retire after being diagnosed with als.
