Sequence,Predicted Neutral Text,Source Text,BLEU Score
1,hercules is skilled in hand to hand combat and is proficient in greco-roman wrestling.,hercules is an excellent hand to hand combatant and is a particularly excellent greco-roman wrestler.,0.5613041910189707
2,A Christmas Carol (1949) is a 30-minute filmed television adaptation featuring Taylor Holmes as Scrooge and Vincent Price as the on-screen narrator.,"a christmas carol (1949) a 30-minute filmed television adaptation , reportedly notorious among modern critics for its cheap special effects, starred taylor holmes as scrooge with vincent price as the on-screen narrator.",0.36066039580655923
3,an affluent stratum of the middle class (capitalist class) who stood opposite and derived their income from the proletariat class.,an affluent and often opulent stratum of the middle class (capitalist class) who stood oppositeand derived their income fromthe proletariat class.,0.8325681461464182
4,"generation y is one of the most medicated generations in human history, with many individuals from generation y prescribed antidepressants and other behavior-altering drugs like ritalin.","generation y is one of the most medicated generations in human history, with many generation yers prescribed (subdued/controlled by) antidepressants and other behavior-altering drugs like ritalin.",0.8313060533071633
5,"Mitchum starred in the 1970 David Lean film Ryan's Daughter, playing the role of Charles Shaughnessy, a mild-mannered schoolmaster in World War I era Ireland.","mitchum made a departure from his typical screen persona with the david lean epic ryan's daughter in 1970. in the critically lambasted film, he starred as charles shaughnessy, a mild-mannered schoolmaster in world war i era ireland.",0.3191699358360681
6,"The Wall Street Journal has referred to Pipes as ""an authoritative commentator on the Middle East.""","the wall street journal has called pipes ""an authoritative commentator on the middle east.",0.42105263157894735
7,Suad Amiry is an author and architect living in the West Bank town of Ramallah.,"suad amiry (arabic: ); is an author and architect living in the west bank town of ramallah , in occupied palestine .",0.39172569200250956
8,"Lt. Colonel Gopakumar Pallikalathu, a serving Indian Army officer with qualifications including MA, MBA, and PGDM, has traveled extensively throughout India and been actively involved in counter-terrorism efforts in Jammu and Kashmir.","lt. colonel gopakumar pallikalathu, ma,mba,pgdm - a serving indian army officer : a multi faceted personality who travelled throughout india and an active participant in curbing the terrorism in jammu and kashmir.",0.3157894736842105
9,"In early 2015, SB 6548, a bill concerning restroom usage by transgender individuals, was introduced in the Senate but failed to pass.","in early 2015, sb 6548, which would prevent transgender individuals from using the correct bathroom , was introduced in the senate but failed to pass.",0.6054360898815143
10,No neutral text provided,"he is a member of the democratic party and is the first democrat to represent idaho at the federal level since larry larocco, who represented the 1st for two terms until being swept out in the republican revolution of 1994 .",0.0
11,No neutral text provided,"as harvard university psychologist daniel wegner has argued , facilitated communication is a striking example of the ideomotor effect , the well-known phenomenon whereby individuals' expectations exert unconscious influence over their motor actions daniel wegner.",0.0
12,!colspan=2| main ideologies,!colspan=2| main ideologies,1.0
13,"The individual was born as Holly Michelle Gilliam in Long Beach, California.","the blonde beauty was born holly michelle gilliam in long beach, california.",0.3571428571428572
14,"so whereas supporters of the ""pro-life"" movement often use terms such as ""unborn child"", ""unborn baby"", or ""prenatal"" (with ""postnatal"" referring to an infant after birth), supporters of the ""pro-choice"" movement often use medical terminology such as zygote, embryo, or fetus.","so whereas ""pro-life"" people use medical terms such as ""unborn child"", ""unborn baby"", or ""prenatal"" (""postnatal"" refers to infant after birth), ""pro-choice"" people use medical terminology such as zygote, embryo, or fetus.",0.7868852459016393
15,"lin falls in love with karla, a swiss-american woman who does not reciprocate his feelings, befriends local artists and actors, leading to roles as an extra in several Bollywood movies, and gets involved with the Mumbai underworld for various criminal operations such as drug and weapons trade.","lin falls in love with karla, a swiss-american woman who refuses to love him back, befriends local artists and actors, landing him roles as an extra in several bollywood movies, and is recruited by the mumbai underworld for various criminal operations, including drug and weapons trade.",0.75
16,No neutral text provided,"the term ""rootkit"" (also written as ""root kit"") originally referred to a set of recompiled unix tools such as ""ps"", ""netstat"", ""w"" and ""passwd"" that would carefully hide any trace of the cracker that those commands would normally display, thus allowing the crackers to maintain ""root"" on the system without the system administrator even seeing them.",0.0
17,"the buildings are generally well preserved, including the newly renovated casino theatre.","the buildings are generally well preserved, including the newly renovated casino theatre which looks amazing .",0.8071177470053894
18,the 2004 champ car world series season was notable for the team's success with new sponsors american medical response and yoke tv.,the 2004 champ car world series season was the team's strongest year with new sponsors american medical response and yoke tv.,0.875
19,"therefore, being long a delta neutral call results in the same returns as being long a delta neutral put.","therefore, being long a delta neutral call results in the same returns as being long a delta neutral put.",1.0
20,"medicine can explain some aspects of the ""symptoms"" shown by those individuals reportedly possessed; it is known that ""supernatural strength"" is common in some cases of mental illness (such as mania or energumens)","medicine can explain some aspects of the ""symptoms"" shown by those persons allegedly possessed; it is known that ""supernatural strength"" is common in some cases of insanity (mania or energumens)",0.85
21,General Shahbaz Khan Kamboh was a trusted general of Akbar.,general shahbaz khan kamboh was the most capable and trusted general of the akbar.,0.3159745129085813
22,No neutral text provided,"other parts of the book portray the father, the son, and the holy ghost as ""one"" ambiguities on the subject of jesus' nature has allowed some adherents, particularly among the community of christ, to embrace trinitarianism, while others, such as the church of jesus christ of latter day saints, embrace a theology roughly similar to henotheism .",0.0
23,the united kingdom was the first european country with a taco bell.,the united kingdom was the first european country with a taco bell.,1.0
24,No neutral text provided,"the war on drugs is a controversial prohibition campaign undertaken by the united states government with the assistance of participating countries, intended to reduce the illegal drug tradeto curb supply and diminish demand for specific psychoactive substances deemed immoral, harmful, dangerous, or undesirable.",0.0
25,"judy garland (born frances ethel gumm; june 10, 1922 â june 22, 1969) was an American film actress who received an Oscar nomination. She is well-known for her role as Dorothy Gale in the film ""The Wizard of Oz.""","judy garland (born frances ethel gumm; june 10, 1922 â june 22, 1969) was an oscar-nominated american film actress, considered by many to be one of the greatest singing stars of hollywood's golden era of musical film, best known for her role as the beautiful dorothy gale from the wizard of oz.",0.4767147560918441
26,"it was at this meeting that the home secretary volunteered to speak at the met bpa annual general meeting, an offer which was accepted by the chairman, Paul Wilson.","it was at this meeting that the home secretary volunteered to speak at the met bpa annual general meeting, an offer which was gratefully accepted by the chairman, paul wilson.",0.9086561573215726
27,"without compensation, the rebate tariff will be reduced by 33% to 40 cents a kilowatt hour from July 1, 2011, through to the conclusion of the scheme in 2016. The NSW solar power industry has reacted with concern over the government's decision to amend existing commercial contracts through retrospective legislation.","without compensation, the rebate tariff will be reduced by 33% to 40 cents a kilowatt hour from july 1, 2011 through to the conclusion of the scheme in 2016. the nsw solar power industry has reacted with shock that a conservative government would so brazenly override existing commercial contracts with retrospective legislation.",0.7719298245614035
28,betty and henry run into don and his date at a restaurant.,betty and henry run into don and his date at a restaurant producing predictable results .,0.7939226578179512
29,"in 1999, McCutcheon released her debut as a solo pop artist with Virgin Records, achieving a number 1 in the UK singles chart with the ballad ""Perfect Moment"" (originally recorded by Edyta Grniak in 1997).","in 1999, mccutcheon unleashed herself as a new solo pop - artist with virgin records , surprising critics and doubters alike by scoring a number 1 in the uk singles chart with the ballad ""perfect moment"" (originally recorded by edyta grniak in 1997).",0.6046298034932958
30,No neutral text provided,"with its affordable price and attractive design, it became one of the best-selling chairs ever made.",0.0
31,David Barton is an author and historian who has been criticized for his interpretations of the church-state relationship in the United States of America.,david barton is an author and make-believe historian who lies about the church-state relationship in the united states of america.,0.52
32,"some systems, including newer Macintoshes and new editions of Microsoft Windows, utilize Intel's EFI.",some systems (particularly newer macintoshes and new editions of microsoft windows) use intel's complicated efi.,0.4729797344533827
33,"as the Browns experienced some success in 1994, there were issues behind the scenes.","as the browns recaptured a hint of past glories in 1994, all was not well behind the scenes.",0.4380754404776652
34,No neutral text provided,"total-experience testing, or experience testing, is a new and evolving type of experiment-based testing in which the entire website experience of the visitor is examined using technical capabilities of the website platform (e.g., atg, blue martini software, etc.",0.0
35,"the growing number of investigated cases of police brutality is attributed to the more widespread use of video cameras, rather than an increase in awareness within police ranks.","the growing number of investigated cases of police brutality (a convenient euphemism when the victim dies) is attributed not to any increase of awareness within police ranks, but merely to more widespread use of video cameras.",0.6209938024972841
36,"Yeats' potential targets for the next season may include cup races such as the Yorkshire Cup, Ascot Gold Cup, Goodwood Cup, Lonsdale Cup, Cadran Cup, and a potential defense of the Melbourne Cup crown.","yeats' likely targets for next season will be the 'cup races', notably the yorkshire cup, ascot gold cup , goodwood cup , lonsdale cup and cadran cup , with a possible defense of a potential melbourne cup crown .",0.4878095982494488
37,"since Adam's departure, Brian has not returned to the show, with the exception of a few call-ins.","since adam's departure, brian has not returned to the show, with the exception of a couple of very awkward call-ins.",0.7430381997858699
38,"rectal administration produces effects similar to ingesting, with the advantage that if the user vomits, the remainder of the dose is not wasted.","rectal administration produces about the same effects as ingesting, but if the user vomits, the remainder of the dose is not wasted .",0.8076923076923077
39,"counter-missionary organizations respond to the efforts of evangelical Christians who aim to engage with individuals of the Jewish faith for discussion and dialogue, providing resources such as web articles and discussion forums to address questions about differences between Judaism and other religions.","counter-missionary organizations respond to the multi-million dollar efforts of evangelical christians who target jews for conversion via personal counseling, web sites with articles addressing often used missionary tactics and discussion forums where jews who have questions about the differences between judaism and other religions can be answered.",0.5274350972801913
40,No neutral text provided,deborah glick is the left-wing democratic new york state assembly member for the 66th assembly district (lower manhattan).,0.0
