Sequence,Predicted Neutral Text,Source Text,BLEU Score
1,No neutral text provided,"hilda l. solis (born october 20, 1957) is an american socialist politician , and has been a democratic member of the united states house of representatives since 2001, representing the 31st and 32nd congressional districts of california that include east los angeles and the san gabriel valley.",0.0
2,gNewSense is a GNU/Linux distribution based on Ubuntu.,gnewsense is a gnu/ linux distribution based on ubuntu.,0.596559544542913
3,"located on a 15-acre campus in New Delhi, India, Amity is also known for being the first wireless campus in India.","located on a picturesque 15-acre campus in new delhi, india amity is also know for being the first wireless campus of india.",0.6666666666666666
4,No neutral text provided,"the last stage of this ridiculously long battle is situated in front of hyrule castle, in a magically closed-off arena.",0.0
5,No neutral text provided,"graffiti (strictly, as singular, ""graffito,"" from the italian ""graffiti"" being the plural) are images or letters applied without permission to publicly viewable surfaces such as walls or bridges.",0.0
6,he was known as the lead singer and lyricist of the popular American rock band the Doors and one of Plymouth Christian Academy's graduates.,"he was best known as the lead singer and lyricist of the popular american rock band the doors and one of plymouth christian academy's finest graduates , and is considered to be one of the most charismatic frontmen in the history of rock music.",0.374259875148257
7,No neutral text provided,"john bryant, author and white supremist writes on his blog ""the quackwatch website, then, may be seen as a good representation of conventional medical opinion against the assault of alternative therapies.",0.0
8,No neutral text provided,"the shooting stirred outrage among legal observers such as berkeley copwatch, civil rights organizers, ministers, and oakland city councilmember desley brooks (eastmont-seminary) who believe the shooting was an execution.",0.0
9,"According to Old Testament scholar Gordon Wenham, this creation account exhibits characteristics of a carefully constructed literary work, with a distinct theological purpose of highlighting the supremacy of Yahweh, the God of Israel, over all other deities, including Marduk, the god of Babylon.","old testament scholar gordon wenham proposes that this creation account bears the marks of a carefully contrived literary creation, written with a distinct theological agenda: the elevation of yahweh, the god of israel, over all other gods, and notably over marduk, the god of babylon.",0.538042085925301
10,No neutral text provided,"armchair revolutionary is a two-word cliche , which along with her sister, armchair activist, is a description of a speaker or writer who pretends radical positions without taking any action to instantiate them (""from the comfort of the armchair"").",0.0
11,No neutral text provided,a radio only version has been slated for release featuring well known pop artist katy perry.,0.0
12,"Though less ambitious than its predecessor Zen Arcade, New Day Rising represented a shift away from hardcore punk and played a significant role in shaping the sound of alternative rock in the following decade.","though less sprawlingly ambitious than prior album zen arcade, new day rising, in some ways, abandoned hardcore punk entirely, and helped set the template for alternative rock for the next decade.",0.3888888888888889
13,bob dylan's performance generated controversy for his comment.,bob dylan's performance generated controversy for his insensitive comment:,0.8143536762323635
14,"Adrian Quist is related to fashion designer Neville Quist, who is known as the founding director of Saville Row.","adrian quist is the uncle of celebrated fashion designer neville quist, founding director of saville row.",0.42857142857142855
15,"dangadi, situated in the Bolba block, is a waterfall and a picnic spot in Simdega.","dangadi, situated in the bolba block, is a beautiful waterfall and an ideal picnic spot in simdega.",0.7456994306786414
16,No neutral text provided,"on october 11, 2008, the rockets defeated the michigan wolverines 13-10, marking the first time the wolverines had ever lost to a mac team .",0.0
17,"there have been many attempts to avoid the limitations of the left-right model by describing the political landscape with a multi-dimensional, rather than linear, political spectrum; one such approach is the political compass.","there have been many attempts to avoid the deficiencies of the left-right model by describing the political landscape with a multi-dimensional, rather than linear, political spectrum; one such approach is the political compass.",0.972972972972973
18,"Since Lewis bought a property in Ro Negro Province, Argentina, public access to Escondido Lake has been under discussion.","since lewis bought a property in ro negro province, argentina, public access to escondido lake has been under discussion , because nobody likes to have people transiting in your own property .",0.36882254104487877
19,No neutral text provided,"jagged ridges, deep river canyons and rocky limestone plateaus, with vast caves beneath, make it one of the most scenic spots on earth .",0.0
