Sample Index,Source Text,Predicted Neutral Text,True Neutral Text
3,hercules is an excellent hand to hand combatant and is a particularly excellent greco-roman wrestler.,hercules is skilled in hand to hand combat and is proficient in greco-roman wrestling.,hercules is an excellent hand to hand combatant and is a excellent greco-roman wrestler.
6,"a christmas carol (1949) a 30-minute filmed television adaptation , reportedly notorious among modern critics for its cheap special effects, starred taylor holmes as scrooge with vincent price as the on-screen narrator.",A Christmas Carol (1949) is a 30-minute filmed television adaptation featuring Taylor Holmes as Scrooge and Vincent Price as the on-screen narrator.,a christmas carol (1949) a 30-minute filmed television adaptation starred taylor holmes as scrooge with vincent price as the on-screen narrator.
8,an affluent and often opulent stratum of the middle class (capitalist class) who stood oppositeand derived their income fromthe proletariat class.,an affluent stratum of the middle class (capitalist class) who stood opposite and derived their income from the proletariat class.,an affluent and often opulent stratum of the middle class (capitalist class) who stood opposite the proletariat class.
10,"generation y is one of the most medicated generations in human history, with many generation yers prescribed (subdued/controlled by) antidepressants and other behavior-altering drugs like ritalin.","generation y is one of the most medicated generations in human history, with many individuals from generation y prescribed antidepressants and other behavior-altering drugs like ritalin.","generation y is one of the most medicated generations in human history, with many generation yers prescribed antidepressants and other behavior-altering drugs like ritalin."
11,"mitchum made a departure from his typical screen persona with the david lean epic ryan's daughter in 1970. in the critically lambasted film, he starred as charles shaughnessy, a mild-mannered schoolmaster in world war i era ireland.","Mitchum starred in the 1970 David Lean film Ryan's Daughter, playing the role of Charles Shaughnessy, a mild-mannered schoolmaster in World War I era Ireland.","mitchum made a departure from his typical screen persona with the 1970 david lean film ryan's daughter , in which he starred as charles shaughnessy, a mild-mannered schoolmaster in world war i era ireland."
13,"the wall street journal has called pipes ""an authoritative commentator on the middle east.","The Wall Street Journal has referred to Pipes as ""an authoritative commentator on the Middle East.""","his allies at the wall street journal have called pipes ""an authoritative commentator on the middle east."
17,"suad amiry (arabic: ); is an author and architect living in the west bank town of ramallah , in occupied palestine .",Suad Amiry is an author and architect living in the West Bank town of Ramallah.,suad amiry (arabic: ); is an author and architect living in the west bank town of ramallah.
21,"lt. colonel gopakumar pallikalathu, ma,mba,pgdm - a serving indian army officer : a multi faceted personality who travelled throughout india and an active participant in curbing the terrorism in jammu and kashmir.","Lt. Colonel Gopakumar Pallikalathu, a serving Indian Army officer with qualifications including MA, MBA, and PGDM, has traveled extensively throughout India and been actively involved in counter-terrorism efforts in Jammu and Kashmir.","lt. colonel gopakumar pallikalathu, ma,mba,pgdm - a serving indian army officer : an army officer who travelled throughout india and an active participant in curbing the terrorism in jammu and kashmir."
24,"in early 2015, sb 6548, which would prevent transgender individuals from using the correct bathroom , was introduced in the senate but failed to pass.","In early 2015, SB 6548, a bill concerning restroom usage by transgender individuals, was introduced in the Senate but failed to pass.","in early 2015, sb 6548, which would prevent transgender individuals from using the bathroom they self-identify with was introduced in the senate but failed to pass."
25,"he is a member of the democratic party and is the first democrat to represent idaho at the federal level since larry larocco, who represented the 1st for two terms until being swept out in the republican revolution of 1994 .",No neutral text provided,"he is a member of the democratic party and is the first democrat to represent idaho at the federal level since larry larocco, who represented the 1st district for two terms until the 1994 elections ."
26,"as harvard university psychologist daniel wegner has argued , facilitated communication is a striking example of the ideomotor effect , the well-known phenomenon whereby individuals' expectations exert unconscious influence over their motor actions daniel wegner.",No neutral text provided,"harvard university psychologist daniel wegner has argued that facilitated communication is a striking example of the ideomotor effect , the well-known phenomenon whereby individuals' expectations exert unconscious influence over their motor actions ( daniel wegner ) ."
27,!colspan=2| main ideologies,!colspan=2| main ideologies,!colspan=2| related ideologies
28,"the blonde beauty was born holly michelle gilliam in long beach, california.","The individual was born as Holly Michelle Gilliam in Long Beach, California.","she was born holly michelle gilliam in long beach, california."
32,"so whereas ""pro-life"" people use medical terms such as ""unborn child"", ""unborn baby"", or ""prenatal"" (""postnatal"" refers to infant after birth), ""pro-choice"" people use medical terminology such as zygote, embryo, or fetus.","so whereas supporters of the ""pro-life"" movement often use terms such as ""unborn child"", ""unborn baby"", or ""prenatal"" (with ""postnatal"" referring to an infant after birth), supporters of the ""pro-choice"" movement often use medical terminology such as zygote, embryo, or fetus.","so whereas ""pro-life"" people use imprecise, emotional terms such as ""unborn child"", ""unborn baby"", or ""prenatal"" (""postnatal"" refers to infant after birth), ""pro-choice"" people use precise, medical terminology such as zygote, embryo, or fetus."
33,"lin falls in love with karla, a swiss-american woman who refuses to love him back, befriends local artists and actors, landing him roles as an extra in several bollywood movies, and is recruited by the mumbai underworld for various criminal operations, including drug and weapons trade.","lin falls in love with karla, a swiss-american woman who does not reciprocate his feelings, befriends local artists and actors, leading to roles as an extra in several Bollywood movies, and gets involved with the Mumbai underworld for various criminal operations such as drug and weapons trade.","lin falls in love with karla, a swiss-american woman who does not love him back, befriends local artists and actors, landing him roles as an extra in several bollywood movies, and is recruited by the mumbai underworld for various criminal operations, including drug and weapons trade."
37,"the term ""rootkit"" (also written as ""root kit"") originally referred to a set of recompiled unix tools such as ""ps"", ""netstat"", ""w"" and ""passwd"" that would carefully hide any trace of the cracker that those commands would normally display, thus allowing the crackers to maintain ""root"" on the system without the system administrator even seeing them.",No neutral text provided,"the term ""rootkit"" (also written as ""root kit"") originally referred to a set of recompiled unix tools such as ""ps"", ""netstat"", ""w"" and ""passwd"" that would carefully hide any trace of the cracker that those commands would normally display, thus allowing the intruders to maintain ""root"" on the system without the system administrator even seeing them."
38,"the buildings are generally well preserved, including the newly renovated casino theatre which looks amazing .","the buildings are generally well preserved, including the newly renovated casino theatre.","the buildings are generally well preserved, including the newly renovated casino theatre."
43,the 2004 champ car world series season was the team's strongest year with new sponsors american medical response and yoke tv.,the 2004 champ car world series season was notable for the team's success with new sponsors american medical response and yoke tv.,the 2004 champ car world series season was an improved season with new sponsors american medical response and yoke tv.
44,"therefore, being long a delta neutral call results in the same returns as being long a delta neutral put.","therefore, being long a delta neutral call results in the same returns as being long a delta neutral put.","therefore, being long a delta -hedged call results in the same returns as being long a delta -hedged put."
53,"medicine can explain some aspects of the ""symptoms"" shown by those persons allegedly possessed; it is known that ""supernatural strength"" is common in some cases of insanity (mania or energumens)","medicine can explain some aspects of the ""symptoms"" shown by those individuals reportedly possessed; it is known that ""supernatural strength"" is common in some cases of mental illness (such as mania or energumens)","medicine claims to explain some aspects of the ""symptoms"" shown by those persons allegedly possessed; it is known that ""supernatural strength"" is common in some cases of insanity (mania or energumens)"
56,general shahbaz khan kamboh was the most capable and trusted general of the akbar.,General Shahbaz Khan Kamboh was a trusted general of Akbar.,general shahbaz khan kamboh was a general of the akbar.
59,"other parts of the book portray the father, the son, and the holy ghost as ""one"" ambiguities on the subject of jesus' nature has allowed some adherents, particularly among the community of christ, to embrace trinitarianism, while others, such as the church of jesus christ of latter day saints, embrace a theology roughly similar to henotheism .",No neutral text provided,"other parts of the book portray the father, the son, and the holy ghost as ""one"" ambiguities on the subject of jesus' nature has allowed some adherents, particularly among the community of christ, to embrace trinitarianism, while others, such as the church of jesus christ of latter day saints, embrace a theology a nontrinitarian theology ."
60,the united kingdom was the first european country with a taco bell.,the united kingdom was the first european country with a taco bell.,the united kingdom was the first eu country with a taco bell.
61,"the war on drugs is a controversial prohibition campaign undertaken by the united states government with the assistance of participating countries, intended to reduce the illegal drug tradeto curb supply and diminish demand for specific psychoactive substances deemed immoral, harmful, dangerous, or undesirable.",No neutral text provided,"the war on drugs is a prohibition campaign undertaken by the united states government with the assistance of participating countries, intended to reduce the illegal drug tradeto curb supply and diminish demand for specific psychoactive substances deemed immoral, harmful, dangerous, or undesirable."
65,"judy garland (born frances ethel gumm; june 10, 1922 – june 22, 1969) was an oscar-nominated american film actress, considered by many to be one of the greatest singing stars of hollywood's golden era of musical film, best known for her role as the beautiful dorothy gale from the wizard of oz.","judy garland (born frances ethel gumm; june 10, 1922 – june 22, 1969) was an American film actress who received an Oscar nomination. She is well-known for her role as Dorothy Gale in the film ""The Wizard of Oz.""","judy garland (born frances ethel gumm; june 10, 1922 – june 22, 1969) was an oscar-nominated american film actress, considered by many to be one of the greatest singing stars of hollywood's golden era of musical film, best known for her role as dorothy gale from the wizard of oz."
67,"it was at this meeting that the home secretary volunteered to speak at the met bpa annual general meeting, an offer which was gratefully accepted by the chairman, paul wilson.","it was at this meeting that the home secretary volunteered to speak at the met bpa annual general meeting, an offer which was accepted by the chairman, Paul Wilson.","it was at this meeting that the home secretary volunteered to speak at the met bpa annual general meeting, an offer which was accepted by the chairman, paul wilson."
68,"without compensation, the rebate tariff will be reduced by 33% to 40 cents a kilowatt hour from july 1, 2011 through to the conclusion of the scheme in 2016. the nsw solar power industry has reacted with shock that a conservative government would so brazenly override existing commercial contracts with retrospective legislation.","without compensation, the rebate tariff will be reduced by 33% to 40 cents a kilowatt hour from July 1, 2011, through to the conclusion of the scheme in 2016. The NSW solar power industry has reacted with concern over the government's decision to amend existing commercial contracts through retrospective legislation.","without compensation, the rebate tariff will be reduced by 33% to 40 cents a kilowatt hour from july 1, 2011 through to the conclusion of the scheme in 2016. the nsw solar power industry has reacted with shock that the government would override existing commercial contracts with retrospective legislation."
73,betty and henry run into don and his date at a restaurant producing predictable results .,betty and henry run into don and his date at a restaurant.,betty and henry run into don and his date at a restaurant.
81,"in 1999, mccutcheon unleashed herself as a new solo pop - artist with virgin records , surprising critics and doubters alike by scoring a number 1 in the uk singles chart with the ballad ""perfect moment"" (originally recorded by edyta grniak in 1997).","in 1999, McCutcheon released her debut as a solo pop artist with Virgin Records, achieving a number 1 in the UK singles chart with the ballad ""Perfect Moment"" (originally recorded by Edyta Grniak in 1997).","in 1999, mccutcheon debuted as a solo pop artist with virgin records and scored a number 1 in the uk singles chart with the ballad ""perfect moment"" (originally recorded by edyta grniak in 1997)."
82,"with its affordable price and attractive design, it became one of the best-selling chairs ever made.",No neutral text provided,"with its affordable price and simple design, it became one of the best-selling chairs ever made."
87,david barton is an author and make-believe historian who lies about the church-state relationship in the united states of america.,David Barton is an author and historian who has been criticized for his interpretations of the church-state relationship in the United States of America.,david barton is an author and historian who talks about the church-state relationship in the united states of america.
91,some systems (particularly newer macintoshes and new editions of microsoft windows) use intel's complicated efi.,"some systems, including newer Macintoshes and new editions of Microsoft Windows, utilize Intel's EFI.",some systems (particularly newer macintoshes and new editions of microsoft windows) use intel's efi.
98,"as the browns recaptured a hint of past glories in 1994, all was not well behind the scenes.","as the Browns experienced some success in 1994, there were issues behind the scenes.","as the browns recaptured a hint of past success in 1994, all was not well behind the scenes."
101,"total-experience testing, or experience testing, is a new and evolving type of experiment-based testing in which the entire website experience of the visitor is examined using technical capabilities of the website platform (e.g., atg, blue martini software, etc.",No neutral text provided,"total-experience testing, or experience testing, is a type of experiment-based testing in which the entire website experience of the visitor is examined using technical capabilities of the website platform (e.g., atg, blue martini software, etc."
102,"the growing number of investigated cases of police brutality (a convenient euphemism when the victim dies) is attributed not to any increase of awareness within police ranks, but merely to more widespread use of video cameras.","the growing number of investigated cases of police brutality is attributed to the more widespread use of video cameras, rather than an increase in awareness within police ranks.","the growing number of investigated cases of police brutality is attributed not to any increase of awareness within police ranks, but merely to more widespread use of video cameras."
103,"yeats' likely targets for next season will be the 'cup races', notably the yorkshire cup, ascot gold cup , goodwood cup , lonsdale cup and cadran cup , with a possible defense of a potential melbourne cup crown .","Yeats' potential targets for the next season may include cup races such as the Yorkshire Cup, Ascot Gold Cup, Goodwood Cup, Lonsdale Cup, Cadran Cup, and a potential defense of the Melbourne Cup crown.","yeats' likely targets for next season will be the 'cup races', notably the yorkshire cup, ascot gold cup, goodwood cup, lonsdale cup , cadran cup and possibly the melbourne cup ."
105,"since adam's departure, brian has not returned to the show, with the exception of a couple of very awkward call-ins.","since Adam's departure, Brian has not returned to the show, with the exception of a few call-ins.","since adam's departure, brian has not returned to the show, with the exception of a couple of call-ins to the live show ."
106,"rectal administration produces about the same effects as ingesting, but if the user vomits, the remainder of the dose is not wasted .","rectal administration produces effects similar to ingesting, with the advantage that if the user vomits, the remainder of the dose is not wasted.","rectal administration produces about the same effects as ingesting, but if the user vomits, the remainder of the dose is not eliminated ."
107,"counter-missionary organizations respond to the multi-million dollar efforts of evangelical christians who target jews for conversion via personal counseling, web sites with articles addressing often used missionary tactics and discussion forums where jews who have questions about the differences between judaism and other religions can be answered.","counter-missionary organizations respond to the efforts of evangelical Christians who aim to engage with individuals of the Jewish faith for discussion and dialogue, providing resources such as web articles and discussion forums to address questions about differences between Judaism and other religions.","counter-missionary organizations respond to the efforts of evangelical christians who target jews for conversion via personal counseling, web sites with articles addressing often used missionary tactics and discussion forums where jews who have questions about the differences between judaism and other religions can be answered."
111,deborah glick is the left-wing democratic new york state assembly member for the 66th assembly district (lower manhattan).,No neutral text provided,deborah glick is the democratic new york state assembly member for the 66th assembly district (lower manhattan).
112,"in this leadership race, the party chose ""red tory"" john tory as its leader.","in this leadership race, the party chose ""red tory"" john tory as its leader.","in this leadership race, the party chose john tory as its leader."
113,"today, tondo just exists as a district in the city of manila , a blow to its grand history .","""Today, Tondo is recognized as a district within the city of Manila.""","today, tondo just exists as a district in the city of manila."
114,"o'reilly repeated made an even clearer mistatement of fact when he said ""in malmedy, as you know, us forces captured ss forces who had their hands in the air and they were unarmed and they shot them down.","""O'Reilly repeated a statement about a historical event in Malmedy where US forces captured SS forces who had their hands in the air and were unarmed, and were shot down.""","o'reilly stated ""in malmedy, as you know, us forces captured ss forces who had their hands in the air and they were unarmed and they shot them down."
115,"since faster-than-light signaling is impossible according to the special theory of relativity, any doubts about entanglement due to such a loophole have thereby been quashed .","since faster-than-light signaling is impossible according to the special theory of relativity, any concerns about entanglement due to such a loophole have been addressed.","since faster-than-light signaling is impossible according to the special theory of relativity, any doubts about entanglement due to such a loophole have reduced to effectively zero ."
120,the classic science-fiction short story the golem by avram davidson.,"the science-fiction short story ""The Golem"" by Avram Davidson.",the science-fiction short story the golem by avram davidson.
122,krkoti made his debut for the montenegro national team on 26 march 2013 to earn montenegro a historical 11 draw against england in fifa world cup 2014 qualifying.,krkoti made his debut for the Montenegro national team on 26 March 2013 in a match that ended in a 1-1 draw against England during the FIFA World Cup 2014 qualifying.,krkoti made his debut for the montenegro national team on 26 march 2013 in a 11 draw against england in fifa world cup 2014 qualifying.
123,"following the 1993 federal election in which the liberals regained power from the progressive conservatives after almost a decade in opposition, tobin was appointed minister of fisheries and oceans for his loyalty to chrtien .","following the 1993 federal election, Tobin was appointed minister of fisheries and oceans.","following the 1993 federal election in which the liberals regained power from the progressive conservatives after almost a decade in opposition, tobin was appointed minister of fisheries and oceans."
127,it was the first multinational corporation in the world and the second company to issue stock (after the celebrated british east india company) .,"it was the first multinational corporation in the world and the second company to issue stock, following the British East India Company.",it was the first multinational corporation in the world and the first company to issue stock.
131,"tuallg in the south became what is now south ossetia, part of the historical georgian principality of samachablo where ossetians found refuge from mongol invaders .","Tskhinvali in the south became what is now South Ossetia, historically part of the Georgian principality of Samachablo where Ossetians settled.","tuallg in the south became what is now south ossetia, part of the historical georgian principality of samachablo ."
134,"she is a former beauty queen and supermodel , best remembered for winning the miss international beauty pageant in tokyo, japan, for the year 1979, representing the philippines.","she is a former beauty queen and model, best remembered for winning the Miss International beauty pageant in Tokyo, Japan, in 1979, representing the Philippines.","she is a former beauty queen and model , best remembered for winning the miss international beauty pageant in tokyo, japan, for the year 1979, representing the philippines."
137,"indeed, undoubtedly the most horrifying event in the novel occurs during a scene in which garp's son (walt) is accidentally killed and his other son injured because helen, while attempting to break off her affair with one of her students, agrees to fellatio as a sort of going-away present.","indeed, the most horrifying event in the novel occurs during a scene in which Garp's son (Walt) is accidentally killed and his other son injured because Helen, while attempting to break off her affair with one of her students, agrees to perform a sexual act as a going-away present.","indeed, garp's son (walt) is accidentally killed and his other son injured because helen, while attempting to break off her affair with one of her students, agrees to fellatio as a sort of going-away present."
144,"his profile as a film actor was significantly raised in 2002 when he appeared in three of the year's academy award for best picture nominees chicago, gangs of new york and the hours.",No neutral text provided,"in 2002 he appeared in three of the year's academy award for best picture nominees chicago, gangs of new york and the hours."
