Sequence,Predicted Neutral Text,Source Text,BLEU Score
1,"hamas, acronym of harakat al-muqawama al-islamiyya (arabic: , literally ""islamic resistance movement"" and arabic for 'zeal'), is a palestinian islamist movement, and military organization .","hamas, acronym of harakat al-muqawama al-islamiyya (arabic: , literally ""islamic resistance movement"" and arabic for 'zeal'), is a palestinian islamist movement, political party , and terrorist organization .",0.8886176221906066
2,"in 1960, following his returm from military service, the various ""yes men"" and employees hired by elvis presley to handle security and his concert tours were dubbed the ""memphis mafia"" by the news media.","in 1960, following his returm from military service, the various ""yes men"" and employees hired by elvis presley to handle security and his concert tours were affectionately dubbed the ""memphis mafia"" by the news media.",0.9759047945423922
3,"the team debuted during the 2013 foundation cup and is owned by topboss plastic, inc., a manufacturing company that produces pvc sheetings and linoleum .","the team debuted during the 2013 foundation cup and is owned by topboss plastic, inc., a manufacturing company that produces different kinds quality pvc sheetings and durable linoleum",0.8616971198953189
4,his final cry as the south tower of the world trade center collapsed made international headlines.,his chilling final cry as the south tower of the world trade center collapsed made international headlines.,0.9428731438548749
5,suad amiry (arabic: ); is an author and architect living in the west bank town of ramallah.,"suad amiry (arabic: ); is an author and architect living in the west bank town of ramallah , in occupied palestine .",0.8265654376242381
6,"in this vein, some readers have found farrell's critique of colonialism and capitalism in his subsequent novel the singapore grip to be heavy-handed.","in this vein, some readers have found farrell's critique of colonialism and capitalism in his subsequent novel the singapore grip to be heavy-handed : matthew price , writing in bookforum, commented that the book ""reads like a soap opera written by a committee of marxists"".",0.3823042728920807
7,"the banded carbide precipitates appear in the blade as a complex of light areas ( "" inclusions "" ) and dark swirling patter , and use of pattern-welding can artificially induce this effect.","the banded carbide precipitates appear in the blade as a beautiful swirling patterning, apparently the origin of the term damask.",0.4117647058823529
8,"the italian hot dog was invented by jimmy buff's in newark, new jersey in 1932.","the italian hot dog was invented by self promoting jimmy buff's in newark, new jersey in the 1932.",0.846481724890614
9,"azerbaijanis, also known as azeris, are an iranian people numbering ca.","azerbaijanis, also known as azeris, are a iranian people numbering ca.",0.9285714285714286
10,creation according to genesis (what some scholars refer to as the jewish creation myth) is a story in the first two chapters of genesis.,creation according to genesis is the jewish creation myth in the first two chapters of genesis.,0.6296296296296297
11,"in the kingdom of sardinia , homosexual acts were illegal and severely punished .",the kingdom of sardinia was a homophobic state and punished homosexuality severely.,0.5714285714285714
12,"he is the eldest son of gary ablett, who was a champion aussie rules player at geelong and hawthorn between 1982 - 1997. while gary sr. was a powerhouse forward with an excellent leap, gary jr. has made his name as a dashing on-baller/forward pocket known for his ability to find space in the tightest pack situations.","he is the eldest son of gary ablett, who was a champion aussie rules player at geelong and hawthorn between 1982 - 1997. while gary sr. was a powerhouse forward with a magnificent leap, gary jr. has made his name as a dashing on-baller/forward pocket known for his amazing ability to find space in the tightest pack situations.",0.9506890720275637
13,"frontline executive producer michael sullivan said, ""one should be cautious in ascribing its meaning.","however, as frontline executive producer michael sullivan said, ""one should be cautious in ascribing its meaning.",0.8382234324229999
14,an accident involving a helicopter during the filming of twilight zone: the movie killed actor vic morrow and two child actors.,a horrible accident involving a helicopter during the filming of twilight zone: the movie killed actor vic morrow and two child actors.,0.91582496076106
15,it was also nominated for two primetime emmy awards pows for outstanding comedy series for its second season of 22 episodes.,she is known for her emmy-nominated portrayal of pam beesly on the nbc situation comedy the office.,0.18181818181818182
16,"he also stated that he thinks of the ending as a happy one because there will be a better tomorrow for those left behind and that lelouch would appreciate this, and director goro taniguchi also notes that the tone of the ending is left for the audience to interpret.","he also stated that he thinks of the ending as a happy one because there will be a better tomorrow for those left behind and that lelouch would appreciate this, though director goro taniguchi also notes that the tone of the ending is left for the audience to interpret.",0.9803921568627451
17,"ammukutty, known as ammu swaminathan, a social worker and independence activist from the vadakkath family of anakkara in palghat, kerala.","ammukutty, better known as ammu swaminathan, a social worker and independence activist from the prominent vadakkath family of anakkara in palghat, kerala.",0.9200444146293233
18,"with its affordable price and design, it became one of the best-selling chairs ever made.","with its affordable price and attractive design, it became one of the best-selling chairs ever made.",0.9428731438548749
19,"despite his bleak existentialist outlook, solidified in the public mind through his articulate and vivid series of interviews with david sylvester, bacon in person was highly engaging and charismatic, articulate, well-read and gay.","despite his bleak existentialist outlook, solidified in the public mind through his articulate and vivid series of interviews with david sylvester, bacon in person was highly engaging and charismatic, articulate, well-read and unapologetically gay.",0.9740274534203012
20,"the term clintonomics, a portmanteau of clinton and economics, was used to describe and evaluate the economic policies of u.s. president bill clinton during the 1990s.","the term clintonomics, a portmanteau of clinton and economics, was used to describe , and decry, the economic policies of u.s. president bill clinton during the 1990s.",0.9011740758871807
21,"some critics have noted that the black characters in the book are not depicted speaking in pidgin english, and any derogatory references are slight and passing.","it is fair to note that the black characters in the book are not depicted speaking in pidgin english, and any derogatory references are slight and passing.",0.8270708094620314
22,in 2004 he was forced to retire after being diagnosed with als.,in 2004 he was forced to retire after ironically being diagnosed with als.,0.925961078642316
23,"on 30 november 2011 while being interviewed on bbc's the one show, clarkson commented on the uk's public sector strike that day, and said ""...i would have them shot [...]"".","on 30 november 2011 while being interviewed on bbc's the one show, clarkson commented on the uk's public sector strike that day, and jokingly said ""...i would have them taken outside and executed in front of their families.."".",0.7555113186922866
24,"the zimbabwe african national union was a political party during the struggle for rhodesia's, ultimately zimbabwe's, independence, formed as a split from zapu.","the zimbabwe african national union was a political party during the struggle for rhodesia's, ultimately zimbabwe's, independence, formed as a split from zapu.",1.0
25,"in 2008, bishop gave a speech before the national conference of the council of conservative citizens .","in 2008, bishop gave a speech before the national conference of the pro-segregationist council of conservative citizens",0.9444444444444444
26,"yeats' likely targets for next season will be the 'cup races', notably the yorkshire cup, ascot gold cup, goodwood cup, lonsdale cup and cadran cup , with a possible defense of a potential melbourne cup crown .","yeats' likely targets for next season will be the 'cup races', notably the yorkshire cup, ascot gold cup , goodwood cup , lonsdale cup and cadran cup , with a possible defense of a potential melbourne cup crown .",1.0
27,"lennox lewis was among the first to criticize calzaghe refused to fight johnson "" as long as they pay me the money i'm supposed to get "".","calzaghe was tentatively scheduled to fight former light heavyweight champion glen johnson in the featured bout of a 8 july, 2006 card at millennium stadium in cardiff, wales he was forced to withdraw from the fight when he re aggravated a hand injury , leading many to believe he ducked a fight with the dangerous johnson .",0.12255522973612923
28,including resistance to the duke of westminsters rape of cambridge's kite area .,"after living in radnorshire, mid-wales from 1970 to 1975, alverson moved to cambridge, england, where he was active in rabble-rousing activities , including resistance to the duke of westminsters rape of cambridge's kite area .",0.15611804531597107
29,"1941 ) is an abortion provider in wichita, kansas in the united states.","1941 ) is a abortionist in wichita, kansas in the united states.",0.8
30,"the modiglianimiller theorem (of franco modigliani, merton miller) is a theorem on capital structure, forming part of the basis for modern thinking on capital structure.","the modiglianimiller theorem (of franco modigliani, merton miller) forms the basis for modern thinking on capital structure.",0.6666666666666666
31,"there are now two main types of matches: safety matches (invented by hungarian chemist, jnos irinyi ) and strike anywhere matches.","there are now two main types of matches: safety matches (invented by hungarian chemist, jnos irinyi and strike anywhere matches.",0.96
32,"nokes is a member of test valley borough council from 1999, when she was elected as a councillor for the romsey extra ward; her term will end in 2011.","nokes is a member of test valley borough council from 1999, when she was elected as a councillor for the romsey extra ward; her term will end in 2011 , unless she resigns before .",0.8553453273074225
33,"the book of the dead itself was drastically rewritten, reorganized, and amended several times in egypt, creating four distinct versions which have been found.","the book of the dead itself was drastically rewritten, reorganized, and amended several times in egypt, creating four distinct versions which have been found.",1.0
34,"he is a member of the democratic party and is the first democrat to represent idaho at the federal level since larry larocco, who represented the 1st for two terms until the republican revolution of 1994 .","he is a member of the democratic party and is the first democrat to represent idaho at the federal level since larry larocco, who represented the 1st for two terms until being swept out in the republican revolution of 1994 .",0.9000876262522591
35,"instead of forcing the emeralds off of her once she was back on her feet, knuckles gazed into her eyes.","instead of forcing the emeralds off of her once she was back on her feet, knuckles gazed almost lovingly into her large, heavily-shadowed eyes.",0.7967034698934615
36,"may 14 at a press conference, john lennon and paul mccartney introduce the beatles' new business concept, apple corps, ltd., an entertainment company that included a recording studio, a record label, and clothing store.","may 14 at a press conference, john lennon and paul mccartney introduce the beatles' new business concept, apple corps, ltd., a disastrously mismanaged entertainment company that included a recording studio, a record label, and clothing store.",0.9307946463850605
37,"however, mills was a strong proponent of the cause and his efforts had a profound effect on reducing the loss of life through lifeboat-related accidents .",it was during his time at sea that mills witnessed great loss of life caused by the tragically unsafe engaging and disengaging methods used on ship lifeboats.,0.35690386825973563
38,"the inquest stated that she was part of an internet ""emo"" cult and her bebo page contained an image of an 'emo girl' with bloody wrists.","the inquest revealed that she was part of an internet ""emo"" cult and her bebo page contained an image of an 'emo girl' with bloody wrists.",0.9666666666666667
39,"lin falls in love with karla, a swiss-american woman who does not love him back, befriends local artists and actors, landing him roles as an extra in several bollywood movies, and is recruited by the mumbai underworld for various criminal operations, including drug and weapons trade.","lin falls in love with karla, a swiss-american woman who refuses to love him back, befriends local artists and actors, landing him roles as an extra in several bollywood movies, and is recruited by the mumbai underworld for various criminal operations, including drug and weapons trade.",0.9615384615384616
40,he spent the 2012 postseason on the physically unable to perform list as the cardinals won the 2012 nlds against the washington nationals but lost the 2012 nlcs against the san francisco giants.,"he spent the 2012 postseason on the physically unable to perform list as the cardinals won the 2012 nlds against the washington nationals in a fantastic 9th inning comeback, but lost the 2012 nlcs , in a fantastic 3-1 comeback, against the san francisco giants.",0.6624801353939261
41,dubai ladies club is a private members club for women.,dubai ladies club is an ultra exclusive private members club for women.,0.757957198250164
42,"however, the only other person buried there was ussishkin himself, who died in 1941. a national leaders plot was established on mount herzl after the founding of the state in 1948, in part because mount scopus became an enclave in jordanian- controlled territory.","however, the only other person buried there was ussishkin himself, who died in 1941. a national leaders plot was established on mount herzl after the founding of the state in 1948, in part because mount scopus became an enclave in jordanian- ruled territory.",0.9787234042553191
43,"keith olbermann (born january 27, 1959) is an american news anchor, commentator and radio sportscaster.","keith olbermann (born january 27, 1959) is the best american news anchor, commentator and radio sportscaster.",0.9036679532756783
44,the united states of america was a progressive rock and psychedelic band whose works are often considered an example of early electronic music in rock and roll.,the united states of america was a progressive rock and psychedelic band whose works are an intriguing example of early electronic music in rock and roll.,0.9285714285714286
45,"the panacea society is a christian cult based in bedford, england who send out cure-alls and wish to promote the work of joanne southcott.","the panacea society is a basically harmless christian cult based in bedford, england who send out cure-alls and wish to promote the work of joanne southcott.",0.925961078642316
46,- short: fc porto or fcp - is a portuguese sports club best known for its footballing team .,- short: fc porto or fcp - is a portuguese sports club best known for its footballing wonders .,0.95
47,"it may be known by various other names â for example, the united states' past conscription program was known colloquially as ""the draft"".","it is known by various names â for example, the united states' past conscription program was known colloquially as ""the draft"".",0.8928571428571429
48,"over the next few years, the nutrition foundation funded and designed several small studies , each concluding that the diet produced little effect.","over the next few years, the nutrition foundation funded and designed several small studies carefully crafted to show that the diet produced little effect.",0.8454947064540445
49,"robert silverberg (born january 15, 1935) is a author, best known for writing science fiction.","robert silverberg (born january 15, 1935) is a prolific american author, best known for writing science fiction.",0.9048374180359595
50,spiegel worked briefly in hollywood in 1927 following a stint serving with hashomer hatzair in mandate palestine.,spiegel came briefly to hollywood in 1927 following a stint serving with hashomer hatzair in palestine.,0.8333333333333334
51,"congressman dick zimmer stated, ""i believe he is exactly the kind of predator that the legislature had in mind when it enacted the death penalty.""","congressman dick zimmer stated , and rightfully so , ""i believe he is exactly the kind of predator that the legislature had in mind when it enacted the death penalty.""",0.8711587695892689
52,"some of those remaining, like in edinburgh, have been converted into high street coffee bars, though the city has many dozens remaining untouched - in various states of disrepair.","some of those remaining, like in edinburgh, have been converted into high street coffee bars, though the city has many dozens remaining untouched - sadly in various states of disrepair.",0.9701515036966302
53,"it was founded by a 12 conservatives of immense wealth , most notably sheldon adelson, who donated almost all of its initial funding.","it was founded by a dozen conservatives of immense wealth , most notably sheldon adelson, who donated almost all of its initial funding.",0.96
54,"2012 also saw cwnn contribute the opening track to a remix album from the german band s.y.p.h., which features ex-captain beefheart guitarist gary lucas and rambo amadeus, amongst others.","2012 also saw cwnn contribute the opening track to a remix album from the legendary german band s.y.p.h., which features ex-captain beefheart guitarist gary lucas and rambo amadeus, amongst others.",0.9692332344763441
55,a serving indian army officer who travelled throughout india and an active participant in curbing the terrorism in jammu and kashmir.,"lt. colonel gopakumar pallikalathu, ma,mba,pgdm - a serving indian army officer : a multi faceted personality who travelled throughout india and an active participant in curbing the terrorism in jammu and kashmir.",0.48322508118982543
56,"on 12 may 2007, at the party's first ard fheis, its members voted to become a fully-fledged political party , and at its 2009 ard fheis passed a motion to "" register irg as a political party with the relevant authority within the twenty-six counties"" .","on 12 may 2007, at the party's first ard fheis, its members voted to become a fully-fledged political party , and at its 2009 ard fheis passed a motion to "" register irg as a political party with the relevant authority within the twenty-six counties"" .",1.0
57,"this situation had forced the show's creator, irna phillips to quit the show.","this situation had forced the show's creator, irna phillips to quit the show in her typical fury .",0.7788007830714049
58,"with a few exceptions (such as robert m. price), scholars in the fields of biblical studies and history agree that jesus was a jewish teacher from galilee who was regarded as a healer, was baptized by john the baptist, was accused of sedition against the roman empire, and on the orders of roman governor pontius pilate was sentenced to death by crucifixion.","with few exceptions (such as robert m. price), scholars in the fields of biblical studies and history agree that jesus was a jewish teacher from galilee who was regarded as a healer, was baptized by john the baptist, was accused of sedition against the roman empire, and on the orders of roman governor pontius pilate was sentenced to death by crucifixion.",0.9855072463768116
59,"the trail continues along the ridge, affording extensive views of the surrounding palouse country before dropping back into the forest.","the trail continues along the ridge, affording spectacular views of the surrounding palouse country before dropping back into the forest.",0.9545454545454546
60,"another myth is that marriage on april fools' day is not a good idea for a man, for he will be permanently ruled by his wife.","marriage on april fools' day is not , however, a good idea for a man, for he will be permanently ruled by his wife.",0.8620689655172413
61,"careful marketing made the brand known for understated, sexy, classic casual wear.","careful marketing made the brand synonymous with understated, sexy, classic casual wear.",0.8666666666666667
62,"the practice of using bc and ad was first proposed in the 6th century by dionysius exiguus, in the christian church but the days themselves were changed at some point after six hundred years later.",the new testament or the aramaic scriptures is the name given to the part of the christian bible that was written after the birth of jesus christ.,0.24324324324324326
63,the only thing that can be considered definitely better in independent schools is the fact that they have more individual teaching by better teachers; much better pupil-teacher ratios at around 9:1.,"independent schools, as compared with maintained schools, are generally characterised by more individual teaching by better teachers ; much better pupil-teacher ratios at around 9:1. ; longer teaching hours (sometimes including saturday morning teaching) and homework, though shorter terms; more time for organised sports and extra-curricular activities; more emphasis on traditional academic subjects such as maths, classics and modern languages; a broader view of education than that prescribed by the national curriculum, to which state school education is in practice limited; more emphasis on achievement, whether academic, sporting, musical, dramatic, artistic, or otherwise; and historical buildings and school traditions.",0.04611888021589947
64,robert gabriel mugabe kcb (born 21 february 1924) is the current president of zimbabwe.,robert gabriel mugabe kcb (born 21 february 1924) is the dictator president of zimbabwe.,0.9411764705882353
65,"bufflo dreams was founded by chris scioli and gregory lamberson, an award winning author and filmmaker.","buffalo dreams film festival aka buffalo dreams fantastic film festival was founded by chris scioli and gregory lamberson, an award winning author and filmmaker.",0.6055592557394016
66,the new discovery of rnai has some promise in treating als.,the new discovery of rnai has some promise in curing als.,0.9166666666666666
67,the u.s. government is at risk of representing of the rich and powerful rather than the interests of the majority of citizens .,the u.s. government represents not the interests of the majority of citizens but those of the rich and powerful .,0.6956521739130435
68,thompson later served as health and human services secretary under president george w. bush.,thompson was later awarded a position as health and human services secretary under president george w. bush.,0.7641487028727831
69,"and tonight that is a privilege we share with newly-elected leaders of afghanistan, the palestinian territories, ukraine, and a free and sovereign iraq,"" a reference to the first democratic elections that took place in the respective nations.","and tonight that is a privilege we share with newly-elected leaders of afghanistan, the palestinian territories, ukraine, and a free and sovereign iraq,"" a reference to the first truly democratic , and relatively fair and free, elections that took place in the respective nations.",0.8302349785034864
70,"since 2009, bakrie serves as the chairman of the golkar party and is a candidate for the indonesian presidential election, 2014.","since 2009, bakrie serves as the chairman of the golkar party and is poised to become its nominee for the indonesian presidential election, 2014.",0.8089554940358792
71,list of gaza flotilla partisans,list of gaza flotilla survivors,0.8
72,"his role has been controversial, and some media sources have made allegations of improper conduct against him.","his role has been controversial, and the serbian media have made a number of allegations of improper conduct against him.",0.7640512797684261
73,lostprophets disbanded in 2013 after watkins was charged with extremely serious child sex offences in late 2012. after a highly publicized series of events watkins eventually pleaded guilty.,lostprophets disbanded in 2013 after watkins was unexpectedly charged with extremely serious child sex offences in late 2012. after a highly publicized series of events watkins eventually decided to plead guilty.,0.8706287774539423
74,"during this time assisting fugitive slaves was illegal even in the north, and often unacceptable to most white communities.",during this time assisting fugitive slaves was both illegal and unacceptable to most white communities.,0.7142857142857143
75,"since faster-than-light signaling is impossible according to the special theory of relativity, any doubts about entanglement due to such a loophole are thereby removed .","since faster-than-light signaling is impossible according to the special theory of relativity, any doubts about entanglement due to such a loophole have thereby been quashed .",0.8882480440276221
76,"hitchcock collected these bones under the name megadactylus in 1865. however , the name was in use, and the paleontologist othniel charles marsh renamed it anchisaurus in 1885. remains thought to belong to this genus were found in south africa and china, adding to the theory that these land masses were at the time joined in one super-continent, pangaea, but these assignments have been contentious (gyposaurus).","hitchcock collected these bones under the name megadactylus in 1865. unfortunately , the name was in use, and the famous paleontologist othniel charles marsh renamed it anchisaurus in 1885. remains thought to belong to this genus were found in south africa and china, adding to the theory that these land masses were at the time joined in one super-continent, pangaea, but these assignments have been contentious (gyposaurus).",0.9728825120183872
77,a christmas carol (1949) a 30-minute filmed television adaptation starred taylor holmes as scrooge with vincent price as the on-screen narrator.,"a christmas carol (1949) a 30-minute filmed television adaptation , reportedly notorious among modern critics for its cheap special effects, starred taylor holmes as scrooge with vincent price as the on-screen narrator.",0.6065306597126334
78,the 2004 champ car world series season saw new sponsors american medical response and yoke tv.,the 2004 champ car world series season was the team's strongest year with new sponsors american medical response and yoke tv.,0.6612880213298781
79,"the former is generally taken in year 12 ( year 13 in northern ireland ) also known as ""lower sixth"" and the latter is generally taken in year 13 (year 14 in northern ireland) which is also known as ""upper sixth"".","the former is generally taken in year 12 ( year 13 in northern ireland ) also known as ""lower sixth"" and the latter is generally taken in year 13 (year 14 in northern ireland) which is also known as ""upper sixth"".",1.0
80,the armilla patrol was established to ensure the safety of british shipping in the persian gulf and is also responsible for maintaining a presence in the region.,the armilla patrol was established to ensure the safety of british shipping in the persian gulf and is also responsible for maintaining a reassuring british presence for friendly nations in the region such as the persian gulf states .,0.6751251871527363
81,"he is remembered in cricket terms for scoring 234 in the second test against england at sydney in december 1946; exactly the same score as his captain, don bradman, in the process setting a world-record 405-run fifth wicket partnership.","he is best remembered in cricket terms for scoring 234 in the second test against england at sydney in december 1946; exactly the same score as his captain, don bradman, in the process setting a world-record 405-run fifth wicket partnership.",0.9770125183673897
82,"following the incident , the marlins scored eight runs, six of them unearned:","following bartman's betrayal , the marlins scored eight runs, six of them unearned:",0.8107727203607354
83,"a gilded bronze oil lamp in the shape of a female servant, dated 2nd century bce, found in the tomb of dou wan, wife to the han prince liu sheng; its sliding shutter allows for adjustments in the direction and brightness in rays of light while it also traps smoke within the body.","a gilded bronze oil lamp in the shape of a female servant, dated 2nd century bce, found in the tomb of dou wan, wife to the han prince liu sheng; its sliding shutter allows for adjustments in the direction and brightness in rays of light while it also traps smoke within the body , thus considered an anti-pollutant design .",0.9017226623630116
84,"in the early 20th century, after the fall of the qing dynasty and the end of control over tibet by chinese central government , the tibetan army received training from the british and japanese and adopted an army flag.","in the early 20th century, after the fall of the qing dynasty and the end of chinese hegemony over tibet, the tibetan army received training from the british and japanese and adopted an army flag.",0.9024390243902439
85,"donald mcdonald (abc chairman ), the chairman of the australian broadcasting corporation","donald mcdonald (abc chairman ), the chairman of the australian broadcasting corporation",1.0
86,the suite bergamasque is a well-known piano suite of claude debussy.,the suite bergamasque is one of the most fascinating and famous piano suites of claude debussy.,0.49443047265033274
87,"the war on drugs is a prohibition campaign undertaken by the united states government with the assistance of participating countries, intended to reduce the illegal drug tradeto curb supply and diminish demand for specific psychoactive substances .","the war on drugs is a controversial prohibition campaign undertaken by the united states government with the assistance of participating countries, intended to reduce the illegal drug tradeto curb supply and diminish demand for specific psychoactive substances deemed immoral, harmful, dangerous, or undesirable.",0.7686205265937358
88,"the 4th season of the series was rebroadcast on singapore's channel 5 in 2008 as a tribute to shum, after her death .","the 4th season of the series was rebroadcast on singapore's channel 5 in 2008 as a tribute to shum, after her passing .",0.96
89,"wilson had opposed the entry of the united states into world war i in 1917, though he had been largely responsible for establishing the new league of nations.","the change was made more remarkable by the fact that wilson had run on an anti-war platform in 1916 with the slogan ""he kept us out of war"" (though he had tried to emphasize americanism rather than neutrality) .",0.2593377364006039
90,"in the baltics, r1a1a frequencies decrease from lithuania (45%) to estonia (around 30%).. in the balkans, r1a1 shows lower frequencies, and significant variation between areas, for example more than 30% in bulgaria, croatia and slovenia, but less than 10% in albania, kosovo and greece.","in the baltics, r1a1a frequencies decrease from lithuania (45%) to estonia (around 30%).. in the balkans, r1a1 shows lower frequencies, and significant variation between areas, for example more than 30% in bulgaria, croatia ,slovenia, serbia, and macedonia , but less than 10% in albania, kosovo , greece.",0.9061988506519854
91,"for such companies, the court's conservative majority directly struck down the contraceptive mandate, a regulation adopted by the us department of health and human services (hhs) under the affordable care act (aca) requiring employers to cover certain contraceptives for their female employees, by a 5-4 vote.","for such companies, the court's conservative majority directly struck down the contraceptive mandate, a regulation adopted by the us department of health and human services (hhs) under the affordable care act (aca) requiring employers to cover certain contraceptives for their female employees, by a 5-4 vote.",1.0
92,"the chinese government would have to erect on the spot of the assassination of baron von ketteler a commemorative arch inscribed in latin, german, and chinese .","the chinese government would have to erect on the spot of the assassination of baron von ketteler a commemorative arch inscribed in latin, german, and chinese languages .",0.9661049965255963
93,"but if you read the actual criticism from ed bott and george ou, they never attacked the slides and only criticize what guttmann has published in his original paper.","but if you read the actual criticism from ed bott and george ou, they never attacked the slides and only criticize what guttmann has published in his original paper.",1.0
94,"throughout his career, he has alternated between serious dramatic roles and character roles in comedy films, such as his role as an african pilot in the urban movie soul plane , where his performance as a parody of himself was lampooned in regard to his vegetarian lifestyle.","he also played a funny role in the urban movie soul plane, acting as an african pilot.",0.3
95,27 november: he was charged with two counts of criminal damage after it was said that he had snatched the ignition keys from the cars of photographers following his brother isaac ferry and his brother's actress friend sienna miller outside a nightclub after a bafta after-show party.,27 november: he was charged with two counts of criminal damage after it was said that he had snatched the ignition keys from the cars of photographers pursuing his brother isaac ferry and his brother's actress friend sienna miller outside a nightclub after a bafta after-show party.,0.98
96,"the remark caused a media firestorm, drawing vociferous opposition from western governments, especially the u.s. government under george w. bush.","the remark caused a media firestorm, with drawing vociferous opposition from western governments, especially the u.s. government under george w. bush.",0.9574533680683809
97,today his military reputation has recovered while experts rank his presidential achievements below average .,"today his military reputation has recovered , while experts rank his presidential achievements well below average.",0.8751733190429475
98,the jewish community responded to these objections by stating that the method was humane.,the jewish community responded to these objections by telling the public that the method was in fact humane.,0.7148664491403388
99,"modern dst was first proposed by the new zealand entomologist george vernon hudson, whose shift-work job gave him leisure time to collect insects, and made him aware of the value of after-hours daylight.","modern dst was first proposed by the new zealand entomologist george vernon hudson, whose shift-work job gave him leisure time to collect insects, and made him aware of the value of after-hours daylight.",1.0
100,"in contrast to his on stage personality, reznor is often credited to be shy, soft spoken and reclusive .","in contrast to his on stage personality, reznor is often credited to be shy, soft spoken and a bit of a recluse .",0.7872051786897505
101,this text does not contain detectable subjective bias.,"elon university is on the selective side, with an acceptance rate of 45% as of 2014. the university includes elon college, the college of arts and sciences; the martha and spencer love school of business; the school of communications; the school of education; the school of law; and the school of health sciences.",0.0003077836471233394
102,"indeed, undoubtedly the most shocking event in the novel occurs during a scene in which garp's son (walt) is accidentally killed and his other son injured because helen, while attempting to break off her affair with one of her students, agrees to fellatio as a sort of going-away present.","indeed, undoubtedly the most horrifying event in the novel occurs during a scene in which garp's son (walt) is accidentally killed and his other son injured because helen, while attempting to break off her affair with one of her students, agrees to fellatio as a sort of going-away present.",0.9821428571428571
103,"bill goldberg was picked up off the rosters of the atlanta falcons, but made panther history by being the first player cut by the panthers; goldberg would later become a successful professional wrestler for wcw and wwe.","in an interesting note, bill goldberg was picked up off the rosters of the atlanta falcons, but made panther history by being the first player cut by the panthers; goldberg would later go on to much greater fame as a professional wrestler for wcw and wwe.",0.7398607439178346
104,"president george w. bush announces a surge of 20,000 more troops to fight in the war in iraq.","president george w. bush announces a surge of 20,000 more troops in the war in iraq , causing uproar in the house, senate, and across the country .",0.5014893021406117
105,muriel vanderbilt church phelps adams died in 1982 at the age of eighty.,muriel vanderbilt church phelps adams passed away in 1982 at the age of eighty.,0.8645582954394498
106,the first europe taco bell was opened in the united kingdom .,the united kingdom was the first european country with a taco bell.,0.6900333109719925
107,buckley is the author of a series of novels featuring the character of cia agent blackford oakes.,buckley is the author of a series of substandard novels featuring the character of cia agent blackford oakes.,0.9459594689067654
108,april 17 - sun myung moon has a revelation from jesus telling him to complete his mission from almost 2000 years ago.,april 17 - sun myung moon has a revelation from jesus telling him to complete his mission from almost 2000 years ago.,1.0
109,"einstein was not a theoretical physicist who focused on problems with no immediate practical application, but rather a researcher who was able to keep in touch with practical developments.",bill roper is a notorious video game developer and has been a well-known figure in the worldwide gaming industry for over a decade.,0.12903225806451615
110,"colonel sir william walter mahon, 7th baronet, (born 4 december 1940) is an anglo-irish baronet and retired officer of the british army.","colonel sir william walter mahon, 7th baronet, (born 4 december 1940) is an anglo-irish baronet and retired regular officer of the british army.",0.9636404443012863
111,it is a pre-eminent british public school and is one of the most famous schools in the world.,it is the pre-eminent british public school and is widely considered to be the most famous school in the world.,0.7105954944096783
112,the current single-storey structure was built in the 1960s for the opening of the victoria line on 1 september 1968 and provides a combined entrance for all of the lines serving the station.,the current unattractive single-storey structure was built in the 1960s for the opening of the victoria line on 1 september 1968 and provides a combined entrance for all of the lines serving the station.,0.9710165517924373
113,the presence chamber in the grand apartments is particularly unaltered and rare .,the westminster abbey museum is located in the magnificent 11th century vaulted undercroft of st peter beneath the former monks' dormitory in westminster abbey.,0.14149209275824706
